2021-09-06 11:16:33.1994|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 14:05:21.3504|0|WARN|Tp2.Startup|Hello, this is the index! |url: |action: |Tp2.Controllers.HomeController.Index| body: 
2021-09-06 14:05:24.3669|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 14:05:46.3578|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 14:05:46.4457|0|WARN|Tp2.Startup|Hello, this is the index! |url: |action: |Tp2.Controllers.HomeController.Index| body: 
2021-09-06 14:06:04.2153|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 14:06:04.3178|0|INFO|Tp2.Startup|Los datos ingresados fueron:  ,29 años ,1 de antiguedad y salario $12900 |url: |action: |Tp2.Controllers.HomeController.Tp2| body: 
2021-09-06 14:10:58.6700|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 14:10:58.7630|0|WARN|Tp2.Startup|Hello, this is the index! |url: |action: |Tp2.Controllers.HomeController.Index| body: 
2021-09-06 14:11:02.1674|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 14:11:02.2495|0|ERROR|Tp2.Startup|Se ingresaron campos vacios |url: |action: |Tp2.Controllers.HomeController.Tp2| body: 
2021-09-06 14:11:09.1014|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 14:11:09.1014|0|WARN|Tp2.Startup|Hello, this is the index! |url: |action: |Tp2.Controllers.HomeController.Index| body: 
2021-09-06 14:11:29.2269|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 14:11:29.3359|0|ERROR|Tp2.Startup|Value cannot be null. (Parameter 's') |url: |action: |Tp2.Controllers.HomeController.Tp2| body: 
2021-09-06 14:11:31.6107|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 14:11:31.6107|0|WARN|Tp2.Startup|Hello, this is the index! |url: |action: |Tp2.Controllers.HomeController.Index| body: 
2021-09-06 14:57:43.7684|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 14:57:43.9137|0|WARN|Tp2.Startup|Hello, this is the index! |url: |action: |Tp2.Controllers.HomeController.Index| body: 
2021-09-06 15:02:46.4798|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 15:02:46.5547|0|ERROR|Tp2.Startup|Se ingresaron campos vacios |url: |action: |Tp2.Controllers.HomeController.Tp2| body: 
2021-09-06 15:02:50.9579|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 15:02:50.9579|0|WARN|Tp2.Startup|Hello, this is the index! |url: |action: |Tp2.Controllers.HomeController.Index| body: 
2021-09-06 15:03:41.0889|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 15:03:41.1978|0|WARN|Tp2.Startup|Hello, this is the index! |url: |action: |Tp2.Controllers.HomeController.Index| body: 
2021-09-06 15:03:59.1564|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 15:05:07.6280|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 15:05:07.7518|0|WARN|Tp2.Startup|Hello, this is the index! |url: |action: |Tp2.Controllers.HomeController.Index| body: 
2021-09-06 15:05:37.4733|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 15:07:30.2442|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 15:07:30.3374|0|WARN|Tp2.Startup|Hello, this is the index! |url: |action: |Tp2.Controllers.HomeController.Index| body: 
2021-09-06 15:07:46.0857|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 15:11:09.8919|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 15:11:09.9802|0|WARN|Tp2.Startup|Hello, this is the index! |url: |action: |Tp2.Controllers.HomeController.Index| body: 
2021-09-06 15:11:29.6644|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 15:11:29.7853|0|INFO|Tp2.Startup|Los datos ingresados fueron: Carolina Pérez Omodeo,29 años ,2 de antiguedad y salario $13050 |url: |action: |Tp2.Controllers.HomeController.Tp2| body: 
2021-09-06 15:11:40.4892|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 15:11:40.4936|0|WARN|Tp2.Startup|Hello, this is the index! |url: |action: |Tp2.Controllers.HomeController.Index| body: 
2021-09-06 15:13:44.7396|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 15:13:44.8629|0|WARN|Tp2.Startup|Hello, this is the index! |url: |action: |Tp2.Controllers.HomeController.Index| body: 
2021-09-06 15:13:59.7474|0|INFO|Tp2.Startup|NLog injected into HomeController |url: |action: |Tp2.Controllers.HomeController..ctor| body: 
2021-09-06 15:13:59.8564|0|INFO|Tp2.Startup|Los datos ingresados fueron: Carolina Pérez Omodeo,29 años ,2 de antiguedad y salario $13050 |url: |action: |Tp2.Controllers.HomeController.Tp2| body: 
